product name,Price,Discount
"Realme 5i (Forest Green, 64 GB)","₹8,999",18% off
"Realme 5i (Aqua Blue, 64 GB)","₹8,999",18% off
"Realme C3 (Frozen Blue, 32 GB)","₹6,999",12% off
"Realme C3 (Frozen Blue, 64 GB)","₹7,999",11% off
"Redmi Note 7 Pro (Space Black, 64 GB)","₹9,999",37% off
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999",22% off
"Redmi 8A (Ocean Blue, 32 GB)","₹6,499",18% off
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,999",35% off
"Redmi 8A (Midnight Black, 32 GB)","₹6,499",18% off
"Redmi 7A (Matte Blue, 32 GB)","₹5,499",21% off
"Realme 5 Pro (Sparkling Blue, 64 GB)","₹11,999",20% off
"Realme 5 Pro (Sparkling Blue, 64 GB)","₹13,999",12% off
"Realme 5 Pro (Sparkling Blue, 128 GB)","₹15,999",11% off
Detel D1 Guru,₹599,50% off
"Vivo Z1Pro (Sonic Black, 64 GB)","₹12,990",18% off
"Vivo Z1Pro (Sonic Black, 128 GB)","₹15,990",23% off
"Vivo Z1Pro (Sonic Black, 64 GB)","₹13,990",22% off
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹12,990",18% off
"Redmi 7A (Matte Black, 32 GB)","₹5,499",21% off
Detel D1 Guru,₹599,50% off
"POCO F1 (Steel Blue, 256 GB)","₹16,999",45% off
"Apple iPhone 7 (Black, 32 GB)","₹27,999",6% off
"Realme C2 (Diamond Blue, 32 GB)","₹6,999",22% off
Niamia Cad V,₹899,47% off
"Realme C2 (Diamond Ruby, 32 GB)","₹6,999",22% off
"Vivo Z1Pro (Sonic Blue, 128 GB)","₹15,990",23% off
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹13,990",22% off
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999",35% off
"Realme 5 Pro (Crystal Green, 64 GB)","₹13,999",12% off
Niamia Cad V,₹899,47% off
"Redmi 8A (Sunset Red, 32 GB)","₹6,999",22% off
"Realme 5 Pro (Crystal Green, 128 GB)","₹15,999",11% off
"Realme 5 Pro (Crystal Green, 64 GB)","₹11,999",20% off
Niamia Cad V,₹899,47% off
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹9,999",28% off
"Infinix Hot 8 (Quetzal Cyan, 64 GB)","₹6,999",22% off
"Infinix Hot 8 (Shark Grey, 64 GB)","₹6,999",22% off
"Realme 5 (Crystal Blue, 32 GB)","₹8,999",18% off
"Realme 5 (Crystal Purple, 32 GB)","₹8,999",18% off
Detel D1 MAX,₹849,52% off
"OPPO K1 (Piano Black, 64 GB)","₹9,990",47% off
"Realme 3 (Diamond Red, 64 GB)","₹8,999",30% off
"Realme 3 (Radiant Blue, 64 GB)","₹7,999",33% off
DETEL D1 Star,₹699,53% off
"Realme C2 (Diamond Black, 32 GB)","₹6,999",22% off
Lava A1,₹745,25% off
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999",22% off
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,499",34% off
"Redmi Go (Blue, 16 GB)","₹4,499",25% off
Niamia Cad V Combo of Two Mobiles,"₹1,499",55% off
"Vivo U10 (Electric Blue, 32 GB)","₹8,990",18% off
"Redmi 8A (Midnight Black, 32 GB)","₹6,999",22% off
"Samsung Galaxy A50 (Blue, 64 GB)","₹14,999",28% off
Niamia Cad IV Combo of Two Mobiles,"₹1,399",50% off
"Gionee F205 (Black, 16 GB)","₹3,999",52% off
"Realme 3i (Diamond Blue, 32 GB)","₹6,999",22% off
"Vivo U10 (Electric Blue, 64 GB)","₹10,990",21% off
"Infinix Hot 8 (Cosmic Purple, 64 GB)","₹6,999",22% off
"Redmi Note 8 (Cosmic Purple, 128 GB)","₹14,439",9% off
Niamia CAD 1 Combo of Two Mobiles,"₹1,299",
"Realme X2 (Pearl Blue, 128 GB)","₹19,999",4% off
"Realme 3 (Dynamic Black, 64 GB)","₹7,999",33% off
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","₹10,999",35% off
Niamia Cad IV Combo of Two Mobiles,"₹1,399",50% off
"Vivo U10 (Electric Blue, 64 GB)","₹9,490",20% off
"Redmi Note 7S (Onyx Black, 32 GB)","₹8,999",25% off
"Vivo Z1x (Phantom Purple, 64 GB)","₹15,990",20% off
"Vivo Z1x (Fusion Blue, 128 GB)","₹17,990",28% off
"Vivo Y15 (Aqua Blue, 64 GB)","₹11,990",25% off
Muphone M510,"₹1,079",46% off
"Vivo Y15 (Burgundy Red, 64 GB)","₹11,990",25% off
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹10,999",35% off
"Honor 9X (Midnight Black, 128 GB)","₹16,999",15% off
Detel D1 Champ,₹599,53% off
"Realme XT (Pearl Blue, 64 GB)","₹14,999",11% off
"Realme XT (Pearl Blue, 64 GB)","₹15,999",11% off
"Realme XT (Pearl Blue, 128 GB)","₹17,999",10% off
"Redmi Note 8 Pro (Electric Blue, 64 GB)","₹14,643",13% off
"Redmi Note 8 Pro (Shadow Black, 64 GB)","₹14,607",14% off
Niamia CAD 1 Combo of Two Mobiles,"₹1,299",
"Redmi Note 8 Pro (Halo White, 64 GB)","₹14,669",13% off
Nokia 105 SS,"₹1,090",12% off
Nokia 105 SS,"₹1,079",13% off
Niamia CAD 1 Combo of Two Mobiles,"₹1,299",
Nokia 105 SS,"₹1,090",12% off
Nokia 105 ss,"₹1,072",14% off
"OPPO A3s (Red, 64 GB)","₹7,990",42% off
"Honor 20i (Midnight Black, 128 GB)","₹10,999",35% off
"Moto E6s (Polished Graphite, 64 GB)","₹6,999",30% off
Niamia Cad V,₹899,47% off
"Gionee F205 (Black and Gold, 16 GB)","₹3,999",52% off
"Vivo Y91 (Starry Black, 32 GB)","₹8,490",22% off
"OPPO F11 Pro (Thunder Black, 64 GB)","₹15,990",44% off
Muphone M380,₹949,52% off
"Redmi Go (Black, 8 GB)","₹4,299",28% off
"Honor 9X (Midnight Black, 128 GB)","₹13,999",12% off
"Vivo Y91 (Nebula Purple, 32 GB)","₹8,490",22% off
"Vivo Y19 (Magnetic Black, 128 GB)","₹13,990",12% off
"Vivo Y19 (Spring White, 128 GB)","₹13,990",12% off
Niamia Cad IV Combo of Two Mobiles,"₹1,399",50% off
