product name,Price,Discount
"Samsung Galaxy A50 (Blue, 64 GB)","₹14,999",28% off
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","₹39,999",9% off
"Samsung Galaxy S9 (Midnight Black, 64 GB)","₹26,999",56% off
"Samsung Galaxy A10s (Black, 32 GB)","₹9,499",13% off
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)","₹15,999",19% off
"Samsung Galaxy M10S (Stainless Black, 32 GB)","₹9,988",
"Samsung Galaxy A10s (Black, 32 GB)","₹8,499",15% off
"Samsung Galaxy S9 (Coral Blue, 64 GB)","₹26,999",56% off
"Samsung Galaxy A50 (White, 64 GB)","₹14,999",28% off
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","₹29,999",57% off
"Samsung Galaxy A10s (Blue, 32 GB)","₹8,499",15% off
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","₹39,999",9% off
"Samsung Galaxy A10s (Blue, 32 GB)","₹9,499",13% off
"Samsung Galaxy M30s (Blue, 64 GB)","₹14,384",7% off
"Samsung Galaxy A50 (Black, 64 GB)","₹14,999",28% off
"Samsung Galaxy M30 (Black, 32 GB)","₹10,999",
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","₹17,499",29% off
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","₹19,999",25% off
"Samsung Galaxy A30s (Prism Crush White, 128 GB)","₹15,999",19% off
Samsung Guru FM Plus SM-B110E/D,"₹1,639",
Samsung Guru FM Plus SM-B110E/D,"₹1,500",
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","₹17,499",29% off
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","₹17,499",29% off
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹23,999",7% off
"Samsung Galaxy S10 Lite (Prism White, 128 GB)","₹39,999",9% off
"Samsung GALAXY A50 (White, 64 GB)","₹17,999",25% off
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","₹19,999",25% off
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","₹19,999",25% off
"Samsung Galaxy S10e (Prism White, 128 GB)","₹47,990",18% off
"Samsung Galaxy A50 (Black, 64 GB)","₹17,999",25% off
"Samsung Galaxy A30 (Black, 64 GB)","₹13,990",22% off
"Samsung Galaxy Note 9 (Midnight Black, 128 GB)","₹67,900",7% off
"Samsung Galaxy S10 (Prism White, 512 GB)","₹59,900",34% off
"Samsung Galaxy A30s (Prism Crush White, 64 GB)","₹14,999",20% off
"Samsung Galaxy On8 (Blue, 64 GB)","₹19,990",
"Samsung Galaxy J6 (Gold, 32 GB)","₹10,490",8% off
"Samsung Galaxy M30 (Gradation Blue, 64 GB)","₹12,747",22% off
"Samsung Galaxy M30s (White, 64 GB)","₹14,200",8% off
"Samsung Galaxy A70 (Black, 128 GB)","₹22,990",25% off
"Samsung Galaxy A20s (Blue, 64 GB)","₹12,999",12% off
"Samsung Galaxy M30s (Black, 64 GB)","₹14,383",7% off
"Samsung Galaxy A2 Core (Dark Gray, 16 GB)","₹5,290",10% off
"Samsung Galaxy A20s (Black, 64 GB)","₹12,999",12% off
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)","₹25,999",16% off
Samsung Metro 313,"₹2,320",7% off
"Samsung Galaxy M30 (Blue, 32 GB)","₹10,881",1% off
"Samsung Galaxy A30s (Prism Crush Violet, 64 GB)","₹14,999",20% off
"Samsung Galaxy A10s (Green, 32 GB)","₹9,499",13% off
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)","₹27,999",15% off
"Samsung Galaxy S9 Plus (Coral Blue, 64 GB)","₹29,999",57% off
"Samsung Galaxy A10 (Blue, 32 GB)","₹7,990",8% off
"Samsung Galaxy A80 (Angel Gold, 128 GB)","₹39,990",23% off
"Samsung Galaxy A30s (Prism Crush Black, 64 GB)","₹14,999",20% off
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)","₹27,999",15% off
"Samsung Galaxy A70 (White, 128 GB)","₹22,990",25% off
"Samsung Galaxy A50 (Blue, 64 GB)","₹17,999",25% off
Samsung Guru FM Plus,"₹1,660",
"Samsung Galaxy A30 (White, 64 GB)","₹13,990",22% off
"Samsung Galaxy M30 (Gradation Black, 64 GB)","₹13,999",15% off
"Samsung Galaxy A70 (Blue, 128 GB)","₹22,990",25% off
Samsung Guru FM Plus,"₹1,660",
"Samsung Galaxy J7 Nxt (Gold, 16 GB)","₹10,990",
"Samsung Galaxy A30 (Blue, 64 GB)","₹13,990",22% off
"Samsung Galaxy Note 9 (Ocean Blue, 128 GB)","₹67,900",7% off
"Samsung Galaxy A70s (Prism Crush White, 128 GB)","₹27,999",15% off
"Samsung Galaxy S3 Neo (Marble White, 16 GB)","₹22,140",
"Samsung Galaxy Note 9 (Alpine White, 128 GB)","₹67,900",7% off
"Samsung Galaxy M40 (Midnight Blue, 128 GB)","₹16,990",23% off
"Samsung Galaxy S20 (Cosmic Gray, 128 GB)","₹66,999",9% off
"Samsung Galaxy S10e (Prism Black, 128 GB)","₹47,990",18% off
"Samsung Galaxy S10 (Prism Blue, 128 GB)","₹54,900",22% off
"Samsung Galaxy S20+ (Cosmic Black, 128 GB)","₹73,999",10% off
"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)","₹53,990",
"Samsung Galaxy A20 (Gold, 32 GB)","₹12,900",
"Samsung Galaxy S20+ (Cosmic Gray, 128 GB)","₹73,999",10% off
"Samsung Galaxy S20+ (Cloud Blue, 128 GB)","₹73,999",10% off
"Samsung Galaxy S9 Plus (Lilac Purple, 64 GB)","₹29,999",57% off
"Samsung Galaxy S20 (Cloud Blue, 128 GB)","₹66,999",9% off
"Samsung Galaxy S20 (Cloud Pink, 128 GB)","₹66,999",9% off
Samsung Guru 1200,"₹1,100",
"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)","₹53,990",
"Samsung Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB)","₹13,800",
"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)","₹53,990",
Samsung Guru 1200,"₹1,100",
Samsung Guru 1200,"₹1,250",
Samsung Guru Music 2,"₹1,625",
Samsung Guru 1200,"₹1,200",
"Samsung Galaxy M10S (Metallic Blue, 32 GB)","₹9,738",2% off
Samsung Metro 313 Dual Sim,"₹2,025",
"Samsung Galaxy M30s (Blue, 128 GB)","₹17,290",6% off
"Samsung Galaxy S9 (Midnight Black, 256 GB)","₹65,900",
Samsung Guru Music 2,"₹1,625",
"Samsung Galaxy A20s (Blue, 32 GB)","₹12,490",3% off
Samsung Metro 313 Dual Sim,"₹2,025",
Samsung Guru Music 2,"₹1,450",
"Samsung Galaxy S10 (Prism White, 128 GB)","₹57,900",19% off
"Samsung Galaxy A2 Core (Blue, 16 GB)","₹5,699",3% off
Samsung Guru Music 2,"₹1,600",
"Samsung Galaxy A20s (Black, 32 GB)","₹11,900",7% off
Samsung Guru FM Plus,"₹1,445",
